Action,Price
Buy,43.768310546875
Sell,46.54082489013672
Buy,42.377113342285156
Sell,46.237667083740234
Buy,45.408294677734375
Sell,43.601436614990234
Buy,43.30522918701172
Sell,42.09079360961914
Buy,41.48849868774414
Sell,43.84827423095703
Buy,43.966758728027344
Sell,46.336402893066406
Buy,47.738441467285156
Sell,45.04297637939453
Buy,45.28980255126953
Sell,48.696163177490234
Buy,47.50147247314453
Sell,51.00657272338867
Buy,60.109554290771484
Sell,63.60647964477539
Buy,62.72731018066406
Sell,60.771392822265625
Buy,59.0229377746582
Sell,62.08521270751953
Buy,62.4803466796875
Sell,66.3933334350586
Buy,63.151737213134766
Sell,60.315338134765625
Buy,59.4061164855957
Sell,58.190521240234375
Buy,58.02250671386719
Sell,56.72785186767578
Buy,55.858154296875
Sell,59.25787353515625
Buy,56.51042938232422
Sell,54.523963928222656
Buy,50.92658615112305
Sell,48.8017692565918
Buy,49.47380447387695
Sell,47.428043365478516
Buy,46.301387786865234
Sell,49.12790298461914
Buy,48.94001007080078
Sell,47.100677490234375
Buy,46.81391143798828
Sell,49.355350494384766
Buy,49.25645446777344
Sell,48.19835662841797
Buy,48.11924362182617
